,2016,2017,2018,2019,2020
iOS,4498.0,,,,
Objective-C,3202.0,2349.0,5510.0,4191.0,2340.0
Android,8601.0,,,,
Arduino / Raspberry Pi,3797.0,,,,
AngularJS,8823.0,,,,
C,7678.0,6974.0,18042.0,18017.0,12487.0
C++,9589.0,8155.0,19872.0,20524.0,13707.0
C#,15283.0,12476.0,26954.0,27097.0,18041.0
Cassandra,663.0,,,,
CoffeeScript,1662.0,1192.0,2603.0,,
Cordova,1651.0,,,,
Clojure,556.0,391.0,1032.0,1254.0,
"Cloud (AWS, GAE, Azure, etc.)",4629.0,,,,
Dart,222.0,145.0,,1683.0,2280.0
F#,484.0,457.0,1115.0,973.0,
Go,1547.0,1557.0,5532.0,7201.0,5038.0
Hadoop,1012.0,,,,
Haskell,813.0,649.0,1961.0,,1222.0
Java,17942.0,14524.0,35521.0,35917.0,23074.0
JavaScript,27385.0,22875.0,54686.0,59219.0,38822.0
LAMP,4821.0,,,,
Matlab,1602.0,1569.0,4564.0,,
MongoDB,4780.0,,,,
Node.js,8509.0,,,,
Perl,1624.0,1585.0,3280.0,,1796.0
PHP,12780.0,10290.0,24071.0,23030.0,15007.0
Python,12282.0,11704.0,30359.0,36443.0,25287.0
R,1632.0,1634.0,4813.0,5048.0,3288.0
ReactJS,2541.0,,,,
Redis,2862.0,,,,
Ruby,4383.0,3324.0,7911.0,7331.0,4046.0
Rust,436.0,416.0,1857.0,2794.0,2929.0
Salesforce,665.0,,,,
Scala,1602.0,1309.0,3420.0,3309.0,2052.0
SharePoint,853.0,,,,
Spark,707.0,,,,
SQL,21976.0,18754.0,44670.0,47544.0,31413.0
SQL Server,9306.0,,,,
Swift,2746.0,2368.0,6310.0,5744.0,3397.0
Visual Basic,3312.0,,,,
Windows Phone,1123.0,,,,
WordPress,4496.0,,,,
Elixir,,380.0,,1260.0,
Erlang,,281.0,886.0,777.0,
Assembly,,1823.0,5760.0,5833.0,3553.0
VB.NET,,2273.0,5254.0,,
TypeScript,,3488.0,13626.0,18523.0,14578.0
Lua,,1039.0,2733.0,,
VBA,,1574.0,3810.0,4781.0,3499.0
Groovy,,1193.0,3373.0,,
Smalltalk,,327.0,,,
Visual Basic 6,,1071.0,3087.0,,
Common Lisp,,273.0,,,
Julia,,138.0,430.0,,519.0
Hack,,107.0,254.0,,
HTML,,,53628.0,,
CSS,,,50979.0,,
Bash/Shell,,,31172.0,,
Kotlin,,,3508.0,5620.0,4468.0
Cobol,,,590.0,,
Delphi/Object Pascal,,,2025.0,,
Ocaml,,,470.0,,
HTML/CSS,,,,55466.0,36181.0
Bash/Shell/PowerShell,,,,31991.0,18980.0
WebAssembly,,,,1015.0,
Other(s):,,,,7920.0,
